epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4883,1.07996,1.39514,2.37572,1.04814,0.02567,0.76678,0.17038,0.10807,0.01504,0.51391,0.0951,0.04876,1.3666,52.7282,3.65192,1.39072,0.0708108,0.00324324,0.00324324
2,189.181,1.3354,1.57395,2.14671,1.18647,0.00955,0.40186,0.01374,0.00405,0.00725,0.31053,0.01478,0.0049,2.89492,26.2794,315.804,7.16171,0.0407457,0.00651147,0.00651147
3,291.493,1.39297,1.61899,2.05642,1.23277,0.00971,0.17808,0.00583,0.00211,0.0091,0.05123,0.00452,0.00232,2.85085,20.2766,771.912,8.56542,0.0106146,0.00971369,0.00971369
4,411.702,1.37643,1.3953,2.10447,1.24746,0.00548,0.24746,0.00453,0.0015,0.00167,0.05508,0.0009,0.00036,3.08905,12.9451,601.881,16.4816,0.009703,0.009703,0.009703
5,529.412,1.30968,1.29915,1.83147,1.23428,0.00888,0.30501,0.00945,0.0036,0.00612,0.1553,0.00377,0.00159,2.69688,110.891,310.984,7.73833,0.009604,0.009604,0.009604
6,621.726,1.19752,1.35196,1.74619,1.17254,0.31209,0.22819,0.2041,0.11786,0.26195,0.14909,0.18066,0.11665,1.64651,3.73938,4.21708,1.79137,0.009505,0.009505,0.009505
7,710.863,1.11278,1.3055,1.76936,1.141,0.57318,0.39721,0.40443,0.22891,0.5776,0.42243,0.42242,0.27871,1.49336,1.69501,2.75298,1.40704,0.009406,0.009406,0.009406
8,798.541,1.12437,1.21031,1.58353,1.10698,0.41524,0.60733,0.56053,0.37174,0.41421,0.61135,0.55972,0.36986,1.10355,1.54818,1.67527,1.14936,0.009307,0.009307,0.009307
9,886.836,1.03886,1.15909,1.52652,1.05841,0.38438,0.56269,0.51946,0.36991,0.38288,0.56365,0.51542,0.3386,1.02217,1.86331,1.55612,1.10699,0.009208,0.009208,0.009208
10,984.324,1.04033,1.20719,1.46563,1.0546,0.50103,0.65452,0.59946,0.42981,0.49913,0.66682,0.60027,0.41892,1.0191,1.3658,1.35627,1.10862,0.009109,0.009109,0.009109
11,1077.99,1.04126,1.24849,1.42894,1.08014,0.76632,0.4689,0.58603,0.4248,0.76335,0.47084,0.58927,0.41472,0.98082,1.16386,1.49978,1.07493,0.00901,0.00901,0.00901
12,1172.37,1.0299,1.25419,1.40179,1.0604,0.68584,0.6712,0.62089,0.457,0.68436,0.67385,0.61888,0.44177,0.93018,1.29309,1.2936,1.05768,0.008911,0.008911,0.008911
13,1264.81,0.99525,1.10673,1.30632,1.02876,0.72539,0.71317,0.66713,0.52033,0.72539,0.71317,0.66724,0.51233,0.86677,1.08142,1.16531,1.01152,0.008812,0.008812,0.008812
14,1373.28,0.96645,1.10947,1.21294,1.01644,0.72859,0.66308,0.66134,0.51909,0.72785,0.66243,0.66089,0.50077,0.85671,1.13761,1.13289,1.00347,0.008713,0.008713,0.008713
15,1459.29,0.96452,1.06518,1.21316,1.02219,0.77277,0.68088,0.66505,0.51137,0.76953,0.68359,0.66758,0.50586,0.87556,1.06597,1.09788,1.00876,0.008614,0.008614,0.008614
16,1553.92,0.93754,1.0847,1.17899,1.01153,0.56234,0.70716,0.67675,0.52348,0.76105,0.66672,0.67257,0.50175,0.86236,1.09602,1.18203,0.99524,0.008515,0.008515,0.008515
