epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.824,1.15128,1.53175,2.48039,1.0901,0.01708,0.47708,0.06579,0.04337,0.02088,0.54048,0.07295,0.04575,1.73076,4.33168,7.42984,1.84125,0.0704918,0.00327869,0.00327869
2,297.645,1.23262,1.39545,1.90612,1.14245,0.01783,0.07015,0.00914,0.00286,0.00914,0.03483,0.00413,0.00091,3.16708,10.5274,16.8129,4.75685,0.0404263,0.00654656,0.00654656
3,442.31,1.30667,1.26302,1.86092,1.21615,0.18223,0.14854,0.13846,0.06855,0.1819,0.14112,0.12241,0.05911,1.7569,3.48439,6.19301,2.51441,0.0102949,0.00974844,0.00974844
4,586.485,1.25224,1.4036,1.92171,1.18428,0.17183,0.58001,0.19528,0.13642,0.17206,0.60809,0.19615,0.15235,1.60259,2.86408,159.228,2.19573,0.009703,0.009703,0.009703
5,729.567,1.21833,1.31344,1.72429,1.18687,0.05095,0.2907,0.02101,0.01389,0.048,0.41941,0.02164,0.01483,1.57986,2.98938,172.086,1.87509,0.009604,0.009604,0.009604
6,868.843,1.06989,1.08972,1.46414,1.09225,0.34362,0.66827,0.39532,0.25609,0.34111,0.67442,0.39449,0.28281,1.0903,1.26642,4.92509,1.28421,0.009505,0.009505,0.009505
7,1003.02,1.03636,1.09404,1.36849,1.07067,0.5947,0.70551,0.59821,0.4073,0.59532,0.70767,0.60601,0.44704,0.96329,1.39636,1.69254,1.11659,0.009406,0.009406,0.009406
8,1141.79,1.05666,1.15239,1.32107,1.08274,0.66847,0.6478,0.68442,0.494,0.66913,0.6484,0.68529,0.52306,0.93327,1.19902,1.53353,1.10727,0.009307,0.009307,0.009307
9,1279.1,1.04083,1.16689,1.32195,1.05828,0.61184,0.78055,0.71543,0.54321,0.61138,0.77995,0.71202,0.53938,0.88913,1.07912,1.32528,1.08469,0.009208,0.009208,0.009208
10,1415.79,1.00996,1.15092,1.19668,1.04153,0.70332,0.75358,0.77395,0.58165,0.70332,0.75358,0.77437,0.56886,0.91377,1.12707,1.21703,1.07747,0.009109,0.009109,0.009109
11,1561.48,0.99593,1.11695,1.1869,1.04167,0.62584,0.69525,0.72755,0.5565,0.62584,0.69525,0.72752,0.54381,0.91043,1.03738,1.25504,1.09376,0.00901,0.00901,0.00901
12,1702.61,0.98238,1.11869,1.11258,1.03045,0.68163,0.76758,0.75666,0.59404,0.68163,0.76758,0.7559,0.59097,0.82327,1.1063,1.11754,1.0343,0.008911,0.008911,0.008911
13,1837.44,0.95423,1.11343,1.08533,1.0393,0.72976,0.76062,0.80523,0.61423,0.72935,0.76035,0.80496,0.62248,0.87117,0.92125,1.07823,1.02741,0.008812,0.008812,0.008812
14,1978.18,0.98453,1.12672,1.03695,1.03127,0.79922,0.72657,0.83196,0.63972,0.79776,0.72418,0.8301,0.64575,0.87377,0.9227,1.12673,1.05547,0.008713,0.008713,0.008713
15,2115.94,0.91467,1.10288,1.04106,1.01494,0.78599,0.86352,0.85397,0.67536,0.78493,0.86227,0.85253,0.66156,0.78565,0.91323,0.96835,1.02857,0.008614,0.008614,0.008614
16,2277.45,0.87343,1.08412,0.9448,0.98199,0.81508,0.8167,0.86462,0.69685,0.8133,0.8149,0.86259,0.67208,0.76769,0.88211,0.87743,1.01487,0.008515,0.008515,0.008515
17,2456.5,0.87071,1.07384,0.95463,0.97703,0.82919,0.87102,0.9136,0.72711,0.82787,0.87019,0.91257,0.72258,0.78894,0.87292,0.79665,1.01712,0.008416,0.008416,0.008416
18,2634.76,0.87233,1.03987,0.91082,0.98721,0.79715,0.83008,0.85182,0.68848,0.79715,0.83008,0.85182,0.66588,0.74442,0.8444,0.93133,1.00553,0.008317,0.008317,0.008317
19,2819.08,0.85451,1.0089,0.87809,0.97145,0.90554,0.90525,0.94911,0.77506,0.90495,0.90465,0.94704,0.7695,0.69687,0.82957,0.87246,0.98266,0.008218,0.008218,0.008218
20,2995.64,0.8166,1.02743,0.8382,0.96466,0.88452,0.87709,0.93471,0.77097,0.88268,0.8753,0.9319,0.73251,0.69932,0.83342,0.79193,0.97904,0.008119,0.008119,0.008119
21,3167.3,0.85869,1.04832,0.8801,0.98911,0.89312,0.91363,0.94474,0.77024,0.89315,0.913,0.94431,0.75476,0.70575,0.84003,0.73111,0.98412,0.00802,0.00802,0.00802
22,3333.73,0.80271,0.99584,0.80665,0.94977,0.9266,0.94487,0.96381,0.8029,0.92473,0.94307,0.96116,0.76821,0.69498,0.88379,0.66827,0.98477,0.007921,0.007921,0.007921
23,3502.85,0.79828,0.94631,0.80254,0.95845,0.94338,0.90205,0.96406,0.81056,0.94338,0.90205,0.96245,0.78687,0.69066,0.84075,0.64803,0.96978,0.007822,0.007822,0.007822
24,3672.62,0.79156,0.93762,0.80931,0.94445,0.89965,0.92633,0.94674,0.78513,0.89965,0.92633,0.94479,0.75201,0.6697,0.8672,0.70984,0.96222,0.007723,0.007723,0.007723
25,3845.83,0.78883,0.9591,0.78687,0.95387,0.9112,0.93997,0.95092,0.78871,0.9112,0.93997,0.94975,0.76265,0.68105,0.83376,0.79065,0.96614,0.007624,0.007624,0.007624
26,4023.61,0.79425,1.02304,0.75707,0.95611,0.86553,0.91583,0.9382,0.78849,0.86528,0.91736,0.93842,0.75857,0.67657,0.8103,0.71358,0.95593,0.007525,0.007525,0.007525
27,4198.17,0.7786,0.93607,0.72783,0.94267,0.9316,0.93863,0.95391,0.78573,0.9316,0.93863,0.95396,0.77558,0.71751,0.81684,0.65872,0.97248,0.007426,0.007426,0.007426
28,4376.97,0.79463,0.908,0.75184,0.97187,0.91346,0.94997,0.96712,0.81954,0.91346,0.94997,0.96634,0.80587,0.644,0.80315,0.61176,0.95954,0.007327,0.007327,0.007327
29,4554.57,0.7841,0.94204,0.73618,0.94246,0.87264,0.93118,0.93099,0.78163,0.87315,0.93175,0.93086,0.77045,0.65548,0.82529,0.6878,0.94776,0.007228,0.007228,0.007228
30,4733.39,0.78449,0.96046,0.76726,0.9494,0.86466,0.91692,0.95505,0.79569,0.86466,0.91692,0.95407,0.79406,0.68004,0.80467,0.70957,0.95448,0.007129,0.007129,0.007129
31,4904.63,0.76739,0.97289,0.75747,0.95941,0.95776,0.90815,0.96776,0.81493,0.95776,0.90815,0.9673,0.80985,0.65387,0.81109,0.59651,0.94874,0.00703,0.00703,0.00703
32,5063.46,0.72441,0.92075,0.70278,0.94088,0.93525,0.94467,0.97984,0.83797,0.93525,0.94467,0.97989,0.82371,0.63649,0.7824,0.58762,0.95885,0.006931,0.006931,0.006931
33,5199.27,0.78733,0.92586,0.73993,0.9566,0.95961,0.94992,0.97266,0.83654,0.95778,0.94812,0.97115,0.80917,0.63356,0.77924,0.57485,0.93814,0.006832,0.006832,0.006832
34,5331.99,0.73452,0.91211,0.6867,0.94062,0.9465,0.95388,0.97123,0.82614,0.94586,0.95329,0.97079,0.81369,0.64586,0.76345,0.57937,0.95077,0.006733,0.006733,0.006733
35,5466.27,0.73486,0.93833,0.69474,0.92933,0.9382,0.92465,0.96094,0.80286,0.93714,0.92441,0.96037,0.79505,0.65918,0.79097,0.6325,0.95045,0.006634,0.006634,0.006634
36,5599.99,0.7426,0.92507,0.66753,0.92666,0.9487,0.94597,0.96286,0.81626,0.94863,0.94594,0.96316,0.80509,0.64311,0.79534,0.62546,0.94168,0.006535,0.006535,0.006535
37,5733.47,0.7313,0.92951,0.65605,0.94073,0.95681,0.9579,0.97322,0.83466,0.95493,0.95604,0.97144,0.79384,0.62371,0.79063,0.58667,0.9436,0.006436,0.006436,0.006436
38,5865.29,0.72623,0.89692,0.66068,0.92523,0.95183,0.97449,0.98029,0.843,0.95131,0.97382,0.97955,0.83195,0.62584,0.77196,0.52068,0.94334,0.006337,0.006337,0.006337
39,5997.68,0.73756,0.92869,0.65533,0.93171,0.93139,0.95622,0.96688,0.82516,0.93139,0.95622,0.96689,0.82337,0.61684,0.75096,0.5549,0.92655,0.006238,0.006238,0.006238
40,6131.96,0.73437,0.90222,0.64492,0.93366,0.96244,0.97304,0.97799,0.81581,0.96234,0.97305,0.978,0.82985,0.67483,0.77792,0.51706,0.951,0.006139,0.006139,0.006139
41,6266.08,0.75192,0.86655,0.63231,0.95302,0.94953,0.96866,0.98021,0.826,0.94953,0.96866,0.98021,0.82898,0.65199,0.75525,0.5342,0.9534,0.00604,0.00604,0.00604
42,6398.02,0.7216,0.90237,0.63853,0.93283,0.95588,0.94938,0.97893,0.83981,0.95597,0.94983,0.97864,0.83087,0.61345,0.75538,0.53243,0.93322,0.005941,0.005941,0.005941
43,6530.53,0.70769,0.88587,0.61415,0.92824,0.94765,0.96665,0.98368,0.84766,0.94655,0.96539,0.98371,0.83908,0.59133,0.7374,0.51703,0.92655,0.005842,0.005842,0.005842
44,6664.57,0.69175,0.86834,0.58485,0.91939,0.95902,0.97064,0.98294,0.84644,0.95902,0.97064,0.98294,0.83867,0.61556,0.74327,0.4964,0.93472,0.005743,0.005743,0.005743
45,6796.19,0.70294,0.87623,0.60213,0.92958,0.95662,0.96578,0.98086,0.84368,0.95662,0.96578,0.98086,0.84405,0.60243,0.75435,0.4828,0.92712,0.005644,0.005644,0.005644
46,6928.42,0.70281,0.88129,0.592,0.92434,0.96728,0.97404,0.97924,0.84013,0.96728,0.97404,0.97924,0.84868,0.6053,0.72724,0.46839,0.94309,0.005545,0.005545,0.005545
47,7059.85,0.70836,0.87518,0.6151,0.91918,0.94691,0.96955,0.97442,0.8415,0.94691,0.96955,0.97443,0.83784,0.60354,0.74109,0.4721,0.94327,0.005446,0.005446,0.005446
48,7191.42,0.69773,0.86572,0.59296,0.92401,0.95348,0.95986,0.97763,0.84795,0.95348,0.95986,0.97763,0.84781,0.59943,0.7322,0.47564,0.93336,0.005347,0.005347,0.005347
49,7323.01,0.6854,0.89744,0.59283,0.91594,0.96881,0.97812,0.98366,0.84664,0.96881,0.97812,0.98366,0.8426,0.60198,0.72862,0.46966,0.93106,0.005248,0.005248,0.005248
50,7453.91,0.70073,0.86498,0.62298,0.92889,0.96691,0.96958,0.97999,0.84909,0.96691,0.96958,0.97999,0.84676,0.5842,0.72288,0.44712,0.92068,0.005149,0.005149,0.005149
51,7585.98,0.68907,0.8377,0.60591,0.9135,0.96162,0.97483,0.98031,0.85323,0.96152,0.9751,0.98043,0.85127,0.58512,0.72198,0.47251,0.91496,0.00505,0.00505,0.00505
52,7715.76,0.68332,0.87901,0.59058,0.90557,0.94601,0.97105,0.98588,0.85709,0.94478,0.9698,0.98587,0.85342,0.57807,0.7055,0.46578,0.91273,0.004951,0.004951,0.004951
53,7846.07,0.69179,0.86699,0.59946,0.92338,0.96609,0.95574,0.98963,0.86673,0.96609,0.95574,0.98963,0.85267,0.56669,0.70725,0.45512,0.91325,0.004852,0.004852,0.004852
54,7977.15,0.64826,0.85288,0.54782,0.89006,0.97174,0.97136,0.98643,0.86124,0.97146,0.97155,0.98648,0.8549,0.55049,0.72332,0.45593,0.90659,0.004753,0.004753,0.004753
55,8107.37,0.66914,0.87083,0.57274,0.91263,0.97376,0.96262,0.98839,0.86091,0.97376,0.96262,0.98839,0.86233,0.57026,0.70906,0.44725,0.91161,0.004654,0.004654,0.004654
56,8239.19,0.66162,0.82156,0.56948,0.91038,0.95566,0.96693,0.98169,0.876,0.95627,0.96752,0.98173,0.85738,0.53619,0.69137,0.43715,0.90769,0.004555,0.004555,0.004555
57,8369.5,0.67166,0.8637,0.5765,0.91755,0.95558,0.97857,0.9818,0.86688,0.95558,0.97857,0.9818,0.85915,0.5663,0.7033,0.45008,0.92327,0.004456,0.004456,0.004456
58,8500.65,0.67031,0.85449,0.56279,0.91131,0.95034,0.96858,0.97737,0.85491,0.95034,0.96858,0.97737,0.84712,0.56461,0.72441,0.47416,0.91109,0.004357,0.004357,0.004357
59,8631.84,0.66073,0.85406,0.60127,0.92423,0.96802,0.97543,0.9814,0.86057,0.96802,0.97543,0.9814,0.84794,0.54734,0.71667,0.44447,0.90888,0.004258,0.004258,0.004258
60,8763.47,0.65117,0.8346,0.57675,0.91296,0.95511,0.95416,0.97855,0.8593,0.95511,0.95416,0.97855,0.82892,0.55868,0.70596,0.51015,0.9105,0.004159,0.004159,0.004159
61,8897.08,0.66108,0.84475,0.56028,0.91405,0.96605,0.96715,0.98132,0.86209,0.96605,0.96715,0.98132,0.84755,0.54721,0.69412,0.45093,0.91099,0.00406,0.00406,0.00406
62,9029.24,0.66591,0.82318,0.57375,0.91556,0.95542,0.96884,0.98312,0.86834,0.95542,0.96884,0.98315,0.85438,0.54617,0.70275,0.44375,0.90544,0.003961,0.003961,0.003961
63,9160,0.64343,0.8504,0.54409,0.92311,0.9509,0.98262,0.98304,0.87176,0.9509,0.98262,0.98304,0.86635,0.54937,0.67922,0.44544,0.91674,0.003862,0.003862,0.003862
64,9291.92,0.66753,0.86052,0.57494,0.91492,0.96016,0.96783,0.98895,0.87424,0.96016,0.96783,0.98895,0.85747,0.53543,0.69034,0.42494,0.9004,0.003763,0.003763,0.003763
65,9424.09,0.63369,0.81772,0.53956,0.88288,0.96264,0.97697,0.98954,0.86692,0.96264,0.97697,0.98954,0.8755,0.55146,0.6851,0.42784,0.90527,0.003664,0.003664,0.003664
